Fraud,Address,Normal_Txns,Normal_Sent_txns,Normal_Received_txns,ERC20_txns,ERC20_Sent_txns,ERC20_Received_txns,Internal_Txn,Eth_Volume,Sent_Eth,Received_Eth,ERC20_Volume,Sent_ERC20,Received_ERC20,Stable_Coin_Volume,Sent_Stable_Coin,Received_Stable_Coin,First_Txn_Timestamp,Last_Txn_Timestamp,Wallet_LifeTime,Min_Time_Btw_Normal_Txns,Avg_Time_Btw_Normal_Txns,Max_Time_Btw_Normal_Txns,Min_Time_Btw_ERC20_Txns,Avg_Time_Btw_ERC20_Txns,Max_Time_Btw_ERC20_Txns,Min_Time_Btw_Txns,Avg_Time_Btw_Txns,Max_Time_Btw_Txns,Uniq_Wallet_In_Normal_Txns,Uniq_SmrtCntrs_In_Normal_Txns,Uniq_Wallet_In_ERC20_Txns,Uniq_SmrtCntrs_In_ERC20_Txns
1,0xd362c189cb0056159d2fe22bd8203e26579f620d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0x8bda591ac93925f485cd420a47a48eba87985ea0,12,4,8,0,0,0,1,11.910153444394659,6.45,5.460153444394659,0,0,0,0,0,0,1534834868,1545066436,10231568000,475000,852631000,19072000,0,0,0,475000,852631000,19072000,11,0,0,0
1,0x643ebb288b3f5a10530ecb38e857f1f0c64383bc,18,1,17,0,0,0,0,7.7829999999999995,3.889,3.894,0,0,0,0,0,0,1642361005,1643674624,1313619000,3788000,72979000,76811000,0,0,0,3788000,72979000,76811000,18,0,0,0
1,0x51c43b800f1509263049f85946ce6d77f9301f67,123,14,109,0,0,0,0,24.964756891007408,12.396879160620177,12.567877730387233,0,0,0,0,0,0,1642950528,1646903821,3953293000,0,32141000,37126000,0,0,0,0,32141000,37126000,99,2,0,0
1,0x48c94305bddfd80c6f4076963866d968cac27d79,11,5,6,34,2,32,2,1.63001,1.6,0.030010000000000002,31948247277.77396,1.6841007704584805,31948247276.08986,0,0,0,1635341097,1705797983,70456886000,1164000,5692074000,360120000,0,2065566000,473000,0,1565709000,227633000,3,4,7,7
1,0x76f6671887cf6056344d999e0f326a80a4548710,19,8,11,6,0,6,2,23.640698668,11.916704,11.723994668,3614.226107091469,0,3614.226107091469,0,0,0,1519659533,1541970260,22310727000,601000,449847000,95214000,63544000,3082310000,2020596000,601000,892429000,95214000,16,0,1,3
1,0x690c3d88b6af25f6186845571ac35d4d8595f4a1,1,1,0,0,0,0,1,0.98626275,0.98626275,0,0,0,0,0,0,0,1572544434,1572544434,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0xa11bde49514da9215b0b26ce5f0e65c45c8632cb,3,1,2,0,0,0,0,25.4298552654956,12.714843632747801,12.7150116327478,0,0,0,0,0,0,1583856184,1584443925,587741000,89301000,195914000,0,0,0,0,89301000,195914000,0,3,0,0,0
1,0x0341552cabe750ae3a593de78a50bff0570efdea,6,1,5,0,0,0,0,2.6775894271943965,1.3376724496430128,1.339916977551384,0,0,0,0,0,0,1647208522,1647531470,322948000,1024000,53825000,0,0,0,0,1024000,53825000,0,6,0,0,0
1,0x86da32e89924170cdfc8b11a6191b22ccb65a658,254,191,64,224,98,126,8,141.53880242195007,75.0430969908498,66.49570543110026,387107.285802944,193216.08919316187,193891.19660978208,123402.42855576152,61701.05649338076,61701.37206238076,1604152681,1681694519,77541838000,0,305283000,42258000,0,46390000,9816000,0,162221000,42214000,74,38,56,38
1,0xabc343e36b8d4a63459e1ce99acd94ec6ef6c4c3,14,13,1,11,4,7,2,5.443051991003456,4.941440602228456,0.501611388775,17981.8609068,8986.9251064,8994.9358004,0,0,0,1539106227,1663610267,124504040000,0,400000,2616000,43000,11318549000,61000,0,4980162000,61000,2,6,3,3
1,0x56cfd73d7273f79f76bccc1f4bdea1a4fab944a3,27,12,15,2,1,1,1,54.460384414865636,28.58464676,25.875737654865638,1067.063735,529.96204,537.101695,1067.063735,529.96204,537.101695,1596378744,1602310886,5932142000,86000,219709000,2071000,1911000,956000,0,0,204557000,2071000,20,5,2,0
1,0xccb41e2d069559ce542ce3eb825c8eba372a6468,4,2,2,3,0,3,0,5.22613651,2.6,2.62613651,101.63613651,0,101.63613651,0,0,0,1540143193,1663618655,123475462000,319472000,23088505000,58518766000,25186231000,39537186000,0,319472000,17639352000,33515781000,4,0,1,2
